"","mean_PM25","RR","Lower_CI","Upper_CI"
"366",63,1.02615769043424,1.01510836146376,1.03732728998403
"367",55,1.01376838733237,1.00797283342591,1.01959726400704
"368",59,1.01994422738708,1.01153430556702,1.02842406951002
"369",74,1.04344058354642,1.02500226372337,1.06221058228367
"370",78,1.04979718553865,1.02862390597976,1.07140629763523
"371",49,1.00457467240399,1.00265412288007,1.00649890067454
"372",49,1.00457467240399,1.00265412288007,1.00649890067454
"373",48,1.00305051313035,1.0017704036658,1.00433225837914
"374",60,1.02149405706407,1.01242663807999,1.03064268498116
"375",56,1.01530883267251,1.00886202415973,1.02179683744305
"376",49,1.00457467240399,1.00265412288007,1.00649890067454
"377",65,1.02927860214989,1.0169001222088,1.04180776234198
"378",80,1.05298999339454,1.03043952291891,1.07603396563069
"379",92,1.07235179716286,1.04140072227725,1.10422275717633
"380",52,1.00916106028618,1.00530996075121,1.01302691245289
"381",68,1.03397777587782,1.01959369499137,1.04856478248258
"382",68,1.03397777587782,1.01959369499137,1.04856478248258
"383",75,1.04502611649923,1.02590647709582,1.06450208527483
"384",54,1.01223027918439,1.00708442640694,1.0174024254881
"385",54,1.01223027918439,1.00708442640694,1.0174024254881
"386",55,1.01376838733237,1.00797283342591,1.01959726400704
"387",52,1.00916106028618,1.00530996075121,1.01302691245289
"388",55,1.01376838733237,1.00797283342591,1.01959726400704
"389",64,1.02771696161712,1.01600384685673,1.03956511234003
"390",69,1.03554892986778,1.02049313715468,1.05082684743991
"391",49,1.00457467240399,1.00265412288007,1.00649890067454
"392",50,1.00610114767414,1.00353862167382,1.0086702170594
"393",54,1.01223027918439,1.00708442640694,1.0174024254881
"394",59,1.01994422738708,1.01153430556702,1.02842406951002
"395",66,1.03084261563285,1.01779718821684,1.04405525040455
"396",84,1.0594047700434,1.03408037665254,1.08534935207249
"397",74,1.04344058354642,1.02500226372337,1.06221058228367
"398",54,1.01223027918439,1.00708442640694,1.0174024254881
"399",50,1.00610114767414,1.00353862167382,1.0086702170594
"400",49,1.00457467240399,1.00265412288007,1.00649890067454
